Dificultad;Categoría;Pregunta;Respuesta Correcta;Incorrecta 1;Incorrecta 2;Incorrecta 3
Duro;Arte;"La pintura ""Guernica"" de Pablo Picasso expresaba emociones de temor ante qué guerra?";Guerra Civil Española;Primera Guerra Mundial;La Guerra de Crimea;Guerra Hispanoamericana
Duro;Ciencia: Matemáticas;¿La integración es lo contrario de qué operación matemática?;Derivación;División;Desviación estándar;Multiplicación
Duro;Entretenimiento: Videojuegos;"En ""Earthbound"", ¿cómo se entra en la fábrica de ""Master Belch""?";Espera 3 minutos;"Introduce la contraseña ""Fly Honey""";"Introduce la contraseña ""Reglas Maestras del Eructo""";"Introduce la contraseña ""Mr Saturn Babea"""
Duro;Entretenimiento: Música;¿Quién fue el batería original de The Beatles?;Tommy Moore;Ringo Starr;Stuart Sutcliffe;Pete Best
Duro;Entretenimiento: Cine;"En ""Star Trek Nemesis"", ¿por qué se creó el Pretor Shinzon?";Para reemplazar a Picard como agente romulano;Para destruir la Enterprise;Para hacerse amigo de Picard;Robar la Enterprise
Duro;Entretenimiento: Videojuegos;¿Cómo se llama la isla principal en PLAYERUNKNOWN'S BATTLEGROUNDS?;Erangel;Mármara;Severny;Lastovo
Duro;Ciencia: Matemáticas;¿Cuántos milibares (mbar) a 1 pulgada de mercurio (inHg);33,9;30.0;27.4;10.6
Duro;Historia;¿En qué año tuvo lugar la Batalla de Verdún?;1916;1917;1915;1918
Duro;Entretenimiento: Videojuegos;¿Qué nombre de logro comparte Team Fortress 2 y Left 4 Dead 2?;Monté duro, guardé mojado;Los Vivos y los Muertos;Captura de caché;F en Química
Duro;Entretenimiento: Música;"¿En qué álbum de M83 aparece la canción ""Midnight City""?";Date prisa, estamos soñando;Sábados = Juvenil;Antes de que el amanecer nos cure;Chatarra
Duro;Entretenimiento: Libros;¿Cuál de estas NO lee Charlie en Las ventajas de ser una flor de pared?;Las uvas de la ira;Hamlet;El Gran Gatsby;Peter Pan
Duro;Entretenimiento: Videojuegos;¿Por qué el personaje Trevor Philips fue dado de baja de la Fuerza Aérea?;Problemas de salud mental;Lesiones;Enfermedad;Peligro para los demás
Duro;Arte;"¿En qué año creó Albrecht Dürer la pintura ""La joven liebre""?";1502;1702;1402;1602
Duro;Ciencia: Informática;¿Cómo se llamaba la vulnerabilidad de seguridad encontrada en Bash en 2014?;Trauma de bombardeo;Heartbleed;Bashbug;Miedo escénico
Duro;Conocimientos generales;¿Dónde tiene su sede Apple Inc.?;Cupertino, California;Redwood City;California;Redmond
Duro;Entretenimiento: Anime y Manga japonés;"En el anime ""Hunter X Hunter"", ¿cómo se llama el protagonista principal?";Gon;Ginebra;Gan;Gen
Duro;Ciencia: Gadgets;¿Cuál de las siguientes compañías de dispositivos móviles NO tiene su sede en Asia?;Nokia;LG Electronics;Samsung;HTC
Duro;Entretenimiento: Cine;La película Mad Max: Fury Road presenta el réquiem de qué compositor es el Dies Irae?;Verdi;Mozart;Berlioz;Brahms
Duro;Entretenimiento: Videojuegos;"¿Cuál es el nombre predeterminado del personaje vampiro en ""Shining Soul 2""?";Bloodstar;Sachs;Dráculo;Alucard
Duro;Animales;¿Cómo se llama la proteína rica en cobre que crea la sangre azul en el pulpo antártico?;Hemociaanina;Citocromo;Hierro;Metionina
Duro;Historia;¿Cuándo declaró Lituania su independencia de la Unión Soviética?;11 de marzo de 1990;25 de diciembre;1991;5 de diciembre
Duro;Historia;¿La antigua ciudad de Chichén Itzá fue construida por qué civilización?;Mayas;Aztecas;Incas;Toltecas
Duro;Entretenimiento: Videojuegos;¿Qué Total de Estadísticas Base de los Pokémon no cambia cuando evoluciona?;Scyther;Pikachu;Sneasel;Larvesta
Duro;Entretenimiento: Videojuegos;Contando el DLC Blood and Wine, ¿cuántas cartas de héroe hay en total en The Witcher 3?;25;30;20;15
Duro;Ciencia: Matemáticas;¿Cuál es el cuarto dígito de π?;1;2;3;4
Duro;Entretenimiento: Música;¿Dónde nació Nicki Minaj?;Trinidad y Tobago;Haití;Santa Lucía;Granada
Duro;Ciencia y Naturaleza;¿Qué es lo mismo en Celsius y Fahrenheit?;-40;32;-39;-42
Duro;Entretenimiento: Cine;¿Cuál fue la primera película de superhéroes en la que participó James Gunn?;Los Especiales;Super;Guardianes de la Galaxia;Brightburn
Duro;Entretenimiento: Anime y Manga japonés;"¿Cuál de estos personajes es de ""Legendz: Tale of the Dragon Kings""?";Shiron;Jack;Axia;Tambor
Duro;Entretenimiento: Televisión;"En ""Donkey Kong Country"", ¿por qué Donkey Kong quiere saber el secreto del coco de cristal?";Él es el gran kahuna.;Para averiguar dónde están todos los plátanos.;Porque Diddy Kong le obligó.;Quiere castigar a los brutos.
Duro;Entretenimiento: Videojuegos;En el juego Warframe, ¿qué rango de maestría necesitas para construir el Tigris Prime?;13;6;18;10
Duro;Entretenimiento: Videojuegos;¿Cuándo se lanzó Minecraft 1.0?;40865;17 de mayo;2009;10 de diciembre
Duro;Historia;¿En qué día sufrió ARPANET un fallo de red que duró 4 horas?;29521;21 de noviembre;1969;29 de octubre
Duro;Ciencia: Gadgets;¿Cuál de las siguientes es la frecuencia estándar de crossover de un subwoofer THX?;80 Hz;70 Hz;90 Hz;100 Hz
Duro;Entretenimiento: Anime y Manga japonés;"En ""One Piece"", ¿qué significa ""el Rey Pirata"" para el capitán de los Piratas del Sombrero de Paja?";Libertad;Promesa;Aventura;Amistad
Duro;Entretenimiento: Música;¿Cuál de los álbumes de Michael Jackson vendió más copias?;Thriller;Peligroso;Malo;Fuera de la pared
Duro;Entretenimiento: Videojuegos;"En el mapa ""Origins"" de ""Call Of Duty: Zombies"", ¿dónde está ""Stamin-Up""?";Generador 5;Generador 3;Generador 4;Sitio de excavación
Duro;Geografía;¿Qué país no forma parte de Escandinavia?;Finlandia;Noruega;Suecia;Dinamarca
Duro;Entretenimiento: Música;"¿Qué canción del álbum del rapero Kanye West ""The Life of Pablo"" cuenta con Rihanna?";Famosos;Lobos;Haz ultraligero;Aspectos destacados
Duro;Entretenimiento: Videojuegos;¿Cuál es la velocidad más rápida posible en Trackmania²: Stadium?;1000 km/h;500 km/h;320 km/h;100 km/h
Duro;Conocimientos generales;"En sistemas de vuelo, ¿qué significa el sigla ""TCAS""?";Sistema de Evitación de Colisiones de Tráfico;Sistema de Alerta de Comunicación de Tráfico;Sistema de Alineación de Configuración de Tráfico;Sistema de abreviatura de indicativos de tráfico
Duro;Entretenimiento: Videojuegos;En el lore de TF2, ¿cuáles son los nombres de las hermanas menores de los Heavy?;Yana y Bronislava;Gaba y Anna;Yanna y Gaba;Anna y Bronislava
Duro;Geografía;¿Qué es la tierra que conecta Norteamérica y Sudamérica?;Istmo de Panamá;Istmo de Suez;Urales;Australasia
Duro;Entretenimiento: Videojuegos;"¿Cuál es el nombre real de ""Warhead"" en el juego de Sega Genesis ""Vectorman""?";Raster;Cabeza de paz;Vectorkid;Mapa de bits
Duro;Ciencia: Gadgets;¿Quién construyó el primer láser?;Theodore Harold Maiman;Nikola Tesla;Jack Kilby;Edith Clarke
Duro;Conocimientos generales;¿Cuál es el puente más largo del mundo?;Gran Puente Danyang–Kunshan, China;Calzada del lago Pontchartrain;Estados Unidos;Puente I del Puente del Rey Fahd
Duro;Entretenimiento: Videojuegos;"¿Cuál fue el primer juego que utilizó el motor ""Source 2"" de Valve?";Dota 2;Contraataque: Ofensiva Global;Piratas;Vikingos y Caballeros II
Duro;Geografía;¿Las islas Andamán y Nicobar en el sudeste asiático están controladas por qué país?;India;Vietnam;Tailandia;Indonesia
Duro;Geografía;¿Qué tiene de especial el lago Titicaca?;Lago navegable más alto;El lago más largo del mundo;El lago más profundo del mundo;Permanece congelado durante todo el año
Duro;Entretenimiento: Cine;"¿En qué año protagonizó Clint Eastwood como el inspector Harry Callahan en la película ""Harry el sucio""?";1971;1975;1983;1969
Duro;Entretenimiento: Anime y Manga japonés;"¿En qué año se estrenó por primera vez ""JoJo's Bizarre Adventure: Phantom Blood""?";1987;2013;1983;1995
Duro;Entretenimiento: Cine;"En la película ""Harry Potter y la Orden del Fénix"", ¿por qué el grito de Harry Potter, tras la muerte de Sirius Black, fue silenciado?";Demasiado agonizante;Demasiado ruidoso;Demasiado duro;Demasiado violento
Duro;Entretenimiento: Música;¿Cuál es el nombre oficial de la banda de acompañamiento de Prince?;La Revolución;Los Mendigos;Los Lamentadores;Los Rompecorazones
Duro;Entretenimiento: Videojuegos;¿Cuáles de estas clases de armas NO aparecen en el primer juego de Monster Hunter?;Arco;Martillo;Ballestera pesada;Ballestera ligera
Duro;Entretenimiento: Juegos de mesa;En el Monopoly estándar, ¿cuál es el alquiler si aterrizas en Park Place sin casas?;35;30 dólares;50 dólares;45 dólares
Duro;Entretenimiento: Videojuegos;"¿Qué día en ""Papers, Please"" aparece el hombre de rojo?";Día 23;Día 20;Día 17;Día 15
Duro;Entretenimiento: Televisión;¿Cuál de estos concursos de Nickelodeon se emitió primero?;Doble Desafío;Nick Arcade;Hallazgo, Guardianes;Nickelodeon Guts
Duro;Política;¿Qué letra necesitas tener en un carné de conducir europeo para poder conducir cualquier moto?;A;X;D;B
Duro;Ciencia y Naturaleza;¿Qué constelación contiene el centro de la Vía Láctea?;Sagitario;Scorpius;Ofiuco;Capricornio
Duro;Entretenimiento: Anime y Manga japonés;¿Qué estudio animó Afro Samurai?;Gonzo;Kyoto Animation;xebec;Producción I.G
Duro;Historia;En el año 1900, ¿cuáles eran los nombres de pila más populares que se daban a los bebés niños y niñas nacidos en Estados Unidos?;John y Mary;José y Catalina;Guillermo y Isabel;George y Anne
Duro;Ciencia: Informática;¿Cuál de estos nombres era un nombre en clave real para un proyecto de Microsoft cancelado?;Neptuno;Encélado;Pollux;Saturno
Duro;Ciencia y Naturaleza;¿Qué elemento de la tabla periódica tiene 92 electrones?;Uranio;Sulfuro;Hidrógeno;Hierro
Duro;Animales;¿Cuál es la cantidad media de chinchillas nacidas en una sola camada?;46056;oct-15;05-ago;15-18
Duro;Historia;¿Toussaint Louverture lideró una revuelta de esclavos exitosa en qué país?;Haití;Francia;Cuba;Estados Unidos
Duro;Vehículos;En 2014, más de 6 millones de vehículos de General Motors fueron retirados del mercado debido a qué fallo crítico?;Interruptor de encendido defectuoso;Pedal del acelerador que falla;Corte de líneas de combustible;Pastillas de freno defectuosas
Duro;Entretenimiento: Música;¿Cuál es el término británico para una corchea?;Hemidemisemicuadera;Semihemidemisemiparchea;Semicorchea;Semisemi corchea
Duro;Entretenimiento: Videojuegos;¿Cómo se llama el virus que infectó Nueva York en Tom Clancy's The Division?;Gripe del Dólar;Ebola;Veneno Rojo;Viruela
Duro;Entretenimiento: Videojuegos;El Bracken de la Compañía Letal también es conocido como:;El Hombre de las Flores;El Fantasma;El Demonio de las Sombras;Larry
Duro;Geografía;¿Qué museo nacional encontrarás en Cooperstown, Nueva York?;Salón de la Fama Nacional del Béisbol;Museo Metropolitano de Arte;Salón de la Fama Nacional del Juguete;Museo de Arte Moderno
Duro;Entretenimiento: Anime y Manga japonés;"¿Quién fue el director de la película de anime de 1988 ""La tumba de las luciérnagas""?";Isao Takahata;Hayao Miyazaki;Satoshi Kon;Sunao Katabuchi
Duro;Entretenimiento: Videojuegos;"¿Cuál es la canción principal de ""Sonic Adventure 2""?";Vive y aprende;Abre tu corazón;¿Puedes sentir el sol?;Su Mundo
Duro;Entretenimiento: Juegos de mesa;"¿Cuál de estas cartas de ""Magic: The Gathering"" tiene un texto de ambientación que empieza con ""Oi oi oi""?";Uthden Troll;Troll de la Lota;Albino Troll;Troll Cosechador
Duro;Historia;¿Cuál fue Bohdan Khmelnytsky?;Líder de los cosacos ucranianos;Secretario General del Partido Comunista de la URSS;Príncipe de Valaquia;Gran Príncipe de Novgorod
Duro;Vehículos;¿Cuál de estos códigos de chasis utiliza el BMW Serie 3?;E46;E39;E85;F10
Duro;Entretenimiento: Videojuegos;"En ""Team Fortress 2"", ¿cuánta vida tiene un explorador cuando está sobrecurado?";185;215;195;225
Duro;Entretenimiento: Televisión;¿Cómo se llama el Dr. Doofenshmirtz?;Heinz;Hans;Hank;Heidi
Duro;Entretenimiento: Videojuegos;"En ""Starbound"", según los archivos de activos, la descripción del ""Fantasma de Erchius"" es la misma que la de los otros recursos?";Spookit;Petricub;Trictus;Piromante
Duro;Conocimientos generales;Según la Oficina Australiana de Estadísticas de 2014-2015, ¿qué porcentaje de australianos nacieron en el extranjero?;0,28;13%;20%;7%
Duro;Entretenimiento: Cómics;En el universo Hellboy, ¿cuál era el nombre de nacimiento de Abe Sapien?;Langdon Everett Caul;Lord Baltimore;Sir Edward Grey;Landis Pope
Duro;Entretenimiento: Cine;"¿Cómo se llama el superordenador situado en la sala de control en ""Parque Jurásico"" (1993)?";Máquinas Pensantes CM-5;Cray X-MP;Cray XK7;IBM Blue Gen/Q
Duro;Ciencia y Naturaleza;¿Cuántos tipos de quarks hay en el modelo estándar de la física?;6;2;3;4
Duro;Arte;¿Cuál de estos no es una variación adicional del color morado?;Kobicha;Bizancio;Fastuosa y Poder;Palatinado
Duro;Historia;¿Dónde se libró la Segunda Guerra de los Bóeres en 1899?;Sudáfrica;Argentina;Nepal;Bulgaria
Duro;Conocimientos generales;"¿Cuándo se fundó ""YouTube""?";38397;22 de mayo;2004;12 de septiembre
Duro;Entretenimiento: Videojuegos;¿Cuál es el mundo natal de los Élites de Halo?;Sanghelios;Te;Doisac;Eayn
Duro;Ciencia: Informática;¿Quién es el autor original del motor de física en tiempo real llamado PhysX?;NovodeX;Ageia;Nvidia;AMD
Duro;Ciencia y Naturaleza;¿Cuál de los siguientes NO es un elemento real?;Vitrainium;Praseodimio;Hasio;Lutecio
Duro;Geografía;"¿Dónde tiene su sede la cadena de comida rápida ""Panda Express""?";Rosemead, California;Sacramento;California;Fresno
Duro;Historia;En 1547 que se convirtió en el primer zar de Rusia;Iván el Terrible;Alexis de Rusia;Mijaíl Romanov;Pedro el Grande
Duro;Entretenimiento: Música;¿Cómo se llamaba el cantante de la Guerra Fría que tiene una canción en Grand Theft Auto IV y un monumento mural en Moscú para su memorial?;Viktor Tsoi;Jimi Hendrix;Brian Jones;Vladimir Vysotsky
Duro;Entretenimiento: Videojuegos;¿Qué personaje de la serie Mega Man hizo un pequeño cameo en la escena de introducción de Volt Catfish en las versiones en CD de Mega Man X3?;Auto;Eddie;Tango;Rush
Duro;Entretenimiento: Musicales y teatros;En Los Miserables, ¿quién es el Código Penitenciario 24601?;Jean Valjean;Marius Pontmercy;Javert;Jean Claude Van Damme
Duro;Entretenimiento: Videojuegos;En el juego Warframe, ¿qué tipo de pez se sabe que se alimenta de los nativos desprevenidos de Cetus?;Sharrac;Glappid;Karkina;Pez
Duro;Arte;"¿Cuándo se completó la pintura de Salvador Dalí, ""La persistencia de la memoria""?";1931;1932;1929;1934
Duro;Entretenimiento: Libros;¿Qué condado ficticio inglés fue el escenario de las novelas de Thomas Hardy?;Wessex;Barsetshire;Fulchester;Ambridge
Duro;Geografía;¿Cuál de estas monedas es la moneda oficial de las Islas Cook?;Dólar neozelandés;Dólar estadounidense;Libra esterlina británica;Dólar australiano
Duro;Entretenimiento: Anime y Manga japonés;"¿Qué canción fue el indicativo de la emisora de radio KWFM de Stefan Verdemann en ""Monster"" de Urasawa Naoki?";Sobre el Arcoíris;Qué mundo tan maravilloso;Cuando deseas a una estrella;Cantando bajo la lluvia
Duro;Ciencia y Naturaleza;¿Cuál de los siguientes se considera condicionamiento clásico?;Los experimentos con perros de Pavlov;Experimento de la caja de Skinner;El experimento del gato de Schrödinger;Los experimentos de Harlow con monos
Duro;Historia;"¿Con qué filósofo griego asociarías la frase ""Sé que no sé nada""?";Sócrates;Aristóteles;Platón;Pitágoras
Duro;Entretenimiento: Videojuegos;"En ""Call Of Duty: Zombies"", ""Richtofen"" posee dos frascos de sangre llenos que pertenecen a quién?";Sal DeLuca y Finn O'Leary;Richtofen;Al Arlington y Sal DeLuca;Jessica Rose y Jack Vincent
Duro;Ciencia: Informática;Lenovo adquirió la división de ordenadores personales de IBM, incluyendo la línea ThinkPad de portátiles y tabletas, ¿en qué año?;2005;1999;2002;2008
Duro;Entretenimiento: Videojuegos;¿Cuántos monstruos en total aparecen en Monster Hunter Generations?;105;100;98;73
Duro;Entretenimiento: Videojuegos;¿Cuál es el nombre del personaje principal en el videojuego VA-11 HALL-A: Cyberpunk Bartender Action?;Jill;Dana;Alma;Anna
Duro;Entretenimiento: Cómics;"En el webcómic ""Ava's Demon"", ¿en qué pecado se basa ""Nevy Nervine""?";Envidia;Pereza;Ira;Lujuria
Duro;Historia;¿Qué países participaron en la Guerra de la Langosta?;Francia y Brasil;Canadá y Noruega;Australia y Nueva Zelanda;Estados Unidos e Inglaterra
Duro;Ciencia y Naturaleza;En la escala de Beaufort de fuerza del viento, ¿qué nombre de viento se le da al número 8?;Gale;Tormenta;Huracán;Brisa
Duro;Conocimientos generales;¿En qué año se lanzó el robot de juguete RoboSapien?;2004;2000;2001;2006
Duro;Entretenimiento: Música;¿Cuál es el primer álbum de Pink Floyd?;El Flautista en las Puertas del Amanecer;El lado oscuro de la luna;Ojalá estuvieras aquí;Interferir
Duro;Historia;¿Cuándo se fundó la ciudad de Roma, Italia?;753 a.C.;902 a.C.;524 a.C.;697 a.C.
Duro;Deportes;"¿Qué jugador ""pateó kung-fu"" a un aficionado del Crystal Palace en enero de 1995?";Eric Cantona;David Seamen;Ashley Cole;Mark Hughes
Duro;Vehículos;¿Qué tecnología de distribución variable de válvulas utiliza BMW?;VANOS;VVT-iw;VVEL;MultiAir
Duro;Historia;¿Cuál fue el nombre en clave de la invasión aliada del sur de Francia el 15 de agosto de 1944?;Operación Dragoon;Operación Overlord;Operación Market Garden;Operación Torch
Duro;Entretenimiento: Cómics;En el Universo Marvel, ¿el planeta Svartalfheim es hogar de qué raza?;Elfos Oscuros;Gigantes de Hielo;Kronans;Skrulls
Duro;Entretenimiento: Videojuegos;¿Cuáles son las probabilidades de que te repartan una escalera real dentro del póker/vídeo póker?;1 de cada 649.740;1 en 763;302;1 en 499
Duro;Animales;¿Qué especie de oso pardo no está extinta?;Oso pardo sirio;Oso grizzly de California;Atlas Bear;Oso Grizzly mexicano
Duro;Entretenimiento: Dibujos animados y animaciones;"En la serie de televisión ""Rick and Morty"", Rick usa la frase característica ""Wubba Lubba Dub Dub"", que significa qué en Birdperson?";Estoy sufriendo mucho, por favor ayúdame.;Rezo para que mi vida termine pronto.;¡Vamos a empezar la fiesta!;Estoy sufriendo
Duro;Entretenimiento: Música;¿Cuál de las siguientes NO es una canción real de la banda Thousand Foot Krutch?;Furia Ilimitada;Que vuelen las chispas;Abajo;Ríndete
Duro;Deportes;¿Cuál de estos jugadores de la NHL nunca ha ganado un Trofeo Hart al MVP de la temporada regular?;Steve Yzerman;Chris Pronger;José Theodore;Henrik Sedin
Duro;Vehículos;¿El legendario motor VR6 de Volkswagen tiene cilindros posicionados en qué ángulo de grado?;15 grados;30 grados;45 grados;90 grados
Duro;Historia;¿El escudo de armas del rey de España contiene las armas de los monarcas de Castilla, León, Aragón y de qué otro antiguo reino ibérico?;Navarra;Galicia;Granada;Cataluña
Duro;Geografía;¿Cuál de los siguientes es un castillo?;Castillo de Isabel;Frank Castle;Richard Castle;Castillo de Olivia
Duro;Entretenimiento: Videojuegos;¿Cuál de estos NO es un mapa oficial en Counter-Strike: Global Offensive?;de_season;de_sugarcane;de_canals;de_militia
Duro;Historia;¿Quién es el creador de la bebida refrescante, Dr. Pepper?;Charles Alderton;James Wellington;Johnson Hinsin;Boris Heviltik
Duro;Deportes;Antes de 2018, ¿qué empresa de coches era la única japonesa que ganó las 24 Horas de Le Mans?;Mazda;Toyota;Subaru;Nissan
Duro;Entretenimiento: Videojuegos;¿Cuál de los siguientes títulos de Valve no está basado en un mod comunitario?;Rebote;Día de la Derrota;Contraataque;Enjambre Alienígena
Duro;Geografía;¿Cuál es el nombre oficial alemán de los Ferrocarriles Federales Suizos?;Schweizerische Bundesbahnen;Schweizerische Nationalbahnen;Bundesbahnen der Schweiz;Schweizerische Staatsbahnen
Duro;Entretenimiento: Videojuegos;"¿A qué juego de la serie ""Dark Souls"" juega el jugador como el ""Ashen One""?";Dark Souls III;Dark Souls I;Bloodborne;Almas de demonio
Duro;Ciencia y Naturaleza;¿Qué causa el sonido de un latido?;Cierre de las válvulas cardíacas;Contracción de las cámaras cardíacas;Sangre saliendo del corazón;Relajación de las cámaras cardíacas
Duro;Deportes;¿Quién es el jugador con más partidos del Manchester United?;Ryan Giggs;David Beckham;Wayne Rooney;Eric Cantona
Duro;Entretenimiento: Videojuegos;¿Cuál era el apodo del modelo original del protagonista de Half-Life, Gordon Freeman?;Iván el Motorista Espacial;Gordon el Motorista Espacial;Iván el motero alienígena;Gordon el motero alienígena
Duro;Entretenimiento: Dibujos animados y animaciones;"En ""Rick y Morty"", ¿de qué dimensión provienen Rick y Morty?";C-137;J1977;C-136;C500-a
Duro;Entretenimiento: Música;¿Qué álbum lanzó Kanye West en 2013?;¡Yeezus;Mi hermosa fantasía oscura y retorcida;La vida de Pablo;Vigila el Trono
Duro;Entretenimiento: Videojuegos;"""Exilio"" y ""Revelaciones"" fueron la tercera y cuarta entrega de qué saga de juegos para PC?";Myst;Escalofríos;Doom;Tropico
Duro;Entretenimiento: Música;"¡En el pánico! La canción de At the Disco ""Nothern Downpour"", cuya letra sigue a 'Sé que el mundo es un hueso roto'.";"""Así que derrite tus dolores de cabeza, llámalo hogar""";"""Así que canta tu canción hasta que estés en casa""";"""Así que hazles saber que están solos""";"""Así que enciende un fuego en su fría piedra"""
Duro;Entretenimiento: Cómics;¿En qué año fue la primera San Diego Comic-Con?;1970;2000;1990;1985
Duro;Conocimientos generales;¿De Eemhof, Port Zelande y Het Heijderbos son villas vacacionales propiedad de qué empresa?;Center Parcs;Pueblo de Yelloh;Keycamp;Villa Plus
Duro;Entretenimiento: Cine;¿Cómo se llamaba el actor que interpretó a Leatherface en la película de terror de 1974, La masacre de Texas?;Gunnar Hansen;Edwin Neal;John Dugan;Joe Bill Hogan
Duro;Historia;Antes de que las colonias americanas cambiaran al calendario gregoriano en 1752, ¿en qué fecha comenzaba su año nuevo?;25 de marzo;1 de junio;25 de septiembre;1 de diciembre
Duro;Geografía;¿Cuál es la nación de mayoría musulmana más poblada en 2010?;Indonesia;Arabia Saudí;Irán;Sudán
Duro;Entretenimiento: Música;"¿Cuál es la primera canción del álbum de Dave Matthews Band ""Before These Crowded Streets""?";Pantala Naga Pampa;Quedarse (Perder el Tiempo);Rapunzel;No bebas el agua
Duro;Geografía;¿En qué ciudad se encuentra el Big Nickel en Canadá?;Sudbury, Ontario;Calgary;Alberta;Halifax
Duro;Entretenimiento: Videojuegos;"En ""Team Fortress 2"", ¿cuál es la muerte de burla más rápida que se puede lograr?";Enfrentamiento;Hadouken;Organista;Brocheta
Duro;Entretenimiento: Música;¿Cuál de los artistas musicales NO actuó en el concierto Live Aid en el estadio de Wembley, Londres, en 1985?;Los Rolling Stones;Reina;Elton John;David Bowie
Duro;Ciencia y Naturaleza;¿Cuánto dura un año luz?;9,461 billones de kilómetros;1 AU;105,40 años terrestres;501,2 millones de millas
Duro;Ciencia y Naturaleza;¿Cuáles de las siguientes son células del sistema inmunitario adaptativo?;Linfocitocitos T;Células dendríticas;Células asesinas naturales;Glóbulos blancos
Duro;Entretenimiento: Videojuegos;"¿Qué juego de la serie ""Monster Hunter"" introdujo el arma ""Insect Glaive""?";Monster Hunter 4;Cazador de Monstruos Libertad;Historias de Monster Hunter;Monster Hunter 2
Duro;Ciencia: Matemáticas;¿Cuál de los siguientes matemáticos hizo contribuciones importantes a la teoría de juegos?;John Von Neumann;Carl Friedrich Gauss;Leonhard Euler;Stefan Banach
Duro;Entretenimiento: Anime y Manga japonés;"En ""One Piece"", ¿quién es la chica que superó su pasado esclavizado y se convirtió en agente de un ejército para luchar contra el gobierno corrupto?";Koala;Boa Hancock;Nico Robin;Emporio Ivankov
Duro;Geografía;¿Cuál de los siguientes países sin salida al mar está completamente contenido dentro de otro país?;Lesoto;Burkina Faso;Mongolia;Luxemburgo
Duro;Entretenimiento: Videojuegos;Antes de que Super Smash Bros. contuviera personajes de Nintendo, ¿cómo se conocía internamente?;Rey Dragón: El Juego de Lucha;Concurso de Campeones;Golpe y Golpe;Guerrero de las Eras: Conquista
Duro;Historia;¿Cuándo dejó Canadá la confederación para convertirse en su propia nación?;1 de julio de 1867;1 de julio;1763;1 de julio
Duro;Entretenimiento: Música;¿Quién fue el batería anterior de blink-182 antes de Travis Barker?;Scott Raynor;Atom Willard;Ilan Rubin;Derek Grant
Duro;Entretenimiento: Juegos de mesa;"¿Qué carta aparece en la portada del libro de reglas Beta de ""Magic: The Gathering""?";Espectro del Pantano;Isla;Hidra de roca;Arqueros élficos
Duro;Entretenimiento: Libros;¿En qué novela clásica de Mark Twain un mendigo y el Príncipe de Gales se cambiaron de ropa y aprendieron sobre la desigualdad de clase social?;El príncipe y el mendigo;Hamlet;El chico rico y el tonto;Una historia moderna de Twain
Duro;Ciencia y Naturaleza;¿Cuál es el nombre científico del zorro rojo?;Vulpes Vulpes;Vulpes Redus;Zorro Rojo;Vulpes Vulpie
Duro;Entretenimiento: Cine;En la película de 1976 'Taxi Driver', ¿cuántas armas compró Travis al vendedor?;4;2;6;1
Duro;Ciencia y Naturaleza;¿Qué enfermedad genética es causada por tener un cromosoma Y extra (XYY)?;Síndrome de Jacob;Síndrome de Klinefelter;Síndrome de Turner;Síndrome de Down
Duro;Deportes;¿Qué futbolista italiano le dijo a Neuer dónde va a poner su disparo y lo va desviado, durante el partido Italia-Alemania, UEFA EURO 2016?;Pelle;Insignia;Barzagli;Giaccherini
