Dificultad;Categoría;Pregunta;Respuesta Correcta;Incorrecta 1;Incorrecta 2;Incorrecta 3
Medio;Geografía;¿Qué acontecimiento llevó a Liechenstein a añadir una corona a su bandera?;Los Juegos Olímpicos de 1936;Coronación del príncipe Johann I Joseph en 1805;Decreto de Carlos VI en 1719;Firma de la Constitución de Liechtenstein de 1862
Medio;Entretenimiento: Videojuegos;"En ""Un sombrero a tiempo"", ¿quién es el jefe final?";Chica del Bigote;Ladrón;Director;Jefe de la mafia
Medio;Entretenimiento: Videojuegos;¿Cuál es el nombre del protagonista de La vida es extraña?;Max Caulfield;Frank Bowers;Rachel Amber;Kate Marsh
Medio;Deportes;¿Quién ganó el Gran Premio de Mónaco 2018?;Daniel Ricciardo;Sebastian Vettel;Kimi Raikkonen;Lewis Hamilton
Medio;Entretenimiento: Cine;"¿Cuál es el nombre del sistema de Inteligencia Artificial en la película de 1983, ""WarGames""?";Respuesta al Plan de Operaciones de Guerra;Hélice del pensamiento autoevolutivo;Programa de Control Maestro;Ordenador analógico del campus oeste
Medio;Entretenimiento: Dibujos animados y animaciones;¿Cuál es el nombre del arma de Ruby Rose de RWBY?;Rosa Media Luna;Capullo de rosa espinoso;Magnhild;Guadaña Torcida
Medio;Geografía;¿Cuántos países independientes hay dentro del continente sudamericano?;12;8;9;10
Medio;Geografía;¿En qué condado inglés está la ciudad de Portsmouth?;Hampshire;Oxfordshire;Buckinghamshire;Surrey
Medio;Ciencia y Naturaleza;¿Aproximadamente cuánto dura un año en Urano?;84 años terrestres;47 años terrestres;62 años terrestres;109 años terrestres
Medio;Entretenimiento: Libros;"¿El título de la autobiografía de Adolf Hitler ""Mein Kampf"" es ¿qué traducido al inglés?";Mi lucha;Mi odio;Mi tristeza;Mi deseo
Medio;Ciencia y Naturaleza;¿El agua desionizada es agua con cuál de los siguientes se elimina?;Hierro;Oxígeno;Hidrógeno;Átomos sin carga
Medio;Ciencia y Naturaleza;¿Un positrón es una antípartícula de qué?;Electrón;Neutrones;Proton;Fotón
Medio;Entretenimiento: Videojuegos;¿Cuál es el nombre del AK-47 en Counter Strike: Source?;CV-47;AK-74;AK;CZ-75
Medio;Vehículos;¿Cuándo se fundó Cadillac?;1902;1964;1898;1985
Medio;Mitología;En la mitología africana, Anansi es un embaucador y narrador que toma la forma de qué animal.;Spider;Perro salvaje;Mono;Crocodile
Medio;Entretenimiento: Juegos de mesa;"En el póker, ¿qué significa ""EV""?";Valor esperado;Valor de las acciones;Variación equivalente;Variación de acciones
Medio;Entretenimiento: Videojuegos;"¿Quién pone voz al personaje ""Vernon Cherry"" en ""Red Dead Redemption""?";Casey Mongillo;Tara Strong;Troy Baker;Rob Wiethoff
Medio;Ciencia y Naturaleza;¿De qué ciudad danesa se llama el elemento 72 en la tabla periódica?;Copenhague;Odense;Herning;Skagen
Medio;Historia;¿Cuál fue el nombre no oficial de Alemania entre 1919 y 1933?;República de Weimar;República Democrática Alemana;República Federal de Alemania;Oesterreich
Medio;Deportes;¿Cuál era el promedio de bateo de Sir Donald Bradman en los partidos de prueba?;99,94;100;69.51;44.78
Medio;Política;¿Qué presidente de EE.UU. se dice que tuvo la barba más larga?;Rutherford B. Hayes;Zachary Taylor;John Quincy Adams;James A. Garfield
Medio;Entretenimiento: Anime y Manga japonés;"¿En qué año transcurre la Parte 7 de ""JoJo's Bizarre Adventure""?";1890;1888;1999;2003
Medio;Geografía;¿Qué ciudad tiene el aeropuerto más concurrido del mundo?;Atlanta, Georgia, EE. UU.;Londres;Inglaterra;Chicago
Medio;Arte;¿Qué artista tenía el estilo de usar pequeños puntos de diferentes colores para crear una imagen?;Georges Seurat;Paul Cézanne;Vincent Van Gogh;Henri Rousseau
Medio;Historia;¿Qué dictador mató a más gente?;Mao Zedong;Joseph Stalin;Adolf Hitler;Kim Il Sung
Medio;Historia;¿El creador del Cifrado y la Máquina Enigma era de qué nacionalidad?;Alemán;Americano;Británicos;Polaco
Medio;Historia;¿En qué año Australia se convirtió en federación?;1901;1910;1899;1911
Medio;Entretenimiento: Cine;"¿Quién pone voz al personaje principal, Blu, en la película animada de 2011 ""Río""?";Jesse Eisenberg;Michael Cera;Jonah Hill;Zach Galifianakis
Medio;Entretenimiento: Cine;¿Cómo se llama el artista de foley que diseñó los famosos sonidos de Star Wars, incluyendo el rugido de Chewbacca y los pitidos y silbidos de R2-D2?;Ben Burtt;Ken Burns;Ralph McQuarrie;Miranda Keyes
Medio;Ciencia y Naturaleza;¿Cuál es la unidad de capacitancia eléctrica?;Farad;Gauss;Henry;Watt
Medio;Entretenimiento: Cómics;"En el cómic ""Sonic the Hedgehog"", ¿quién fue el creador de Roboticizer?";Profesor Charles el Erizo;Julian Robotnik;Ivo Robotnik;Snively Robotnik
Medio;Entretenimiento: Cine;"¿Cuál es el nombre de la primera película de ""Star Wars"" por orden de estreno?";Una nueva esperanza;La amenaza fantasma;El despertar de la Fuerza;La venganza de los Sith
Medio;Conocimientos generales;¿Cuál es la esperanza de vida media de una hormiga de jardín?;15 años;24 horas;1 semana;3 años
Medio;Geografía;¿Con cuántos países tiene España frontera terrestre?;5;2;3;4
Medio;Entretenimiento: Música;"¿Quién lanzó el álbum ""Out of Time"" de 1991?";R.E.M.;U2;Coldplay;Los Rolling Stones
Medio;Entretenimiento: Música;¿Cuál fue el título del primer éxito de ABBA en Reino Unido?;Waterloo;Mamma Mia;Fernando;Reina del Baile
Medio;Entretenimiento: Videojuegos;En la serie Super Smash Bros., ¿qué juego presentó por primera vez a Luigi como personaje jugable?;Super Smash Bros.;Super Smash Bros. Melee;Super Smash Bros. Brawl;Super Smash Bros. para Wii U
Medio;Historia;¿En qué día comenzó el intento de golpe de Estado de 1991 en la Unión Soviética?;46253;21 de agosto;26 de diciembre;24 de diciembre
Medio;Conocimientos generales;¿Cuál de los siguientes edificios es ejemplo de una estructura construida principalmente en el estilo arquitectónico Art Decó?;Edificio Mohawk de Niagara;Taipéi 101;Un Centro de Detroit;Westendstrasse 1
Medio;Entretenimiento: Videojuegos;¿Cuál fue el primer juego lanzado usando el motor de construcción?;Witchaven;DOOM;Duke Nukem 3D;Tekwar de William Shatner
Medio;Entretenimiento: Libros;Mary Shelley es la autora de qué historia clásica de terror?;Frankenstein;Drácula;Extraño caso del doctor Jekyll y el señor Hyde;La leyenda de Sleepy Hollow
Medio;Arte;¿Cuál de estas pinturas no pintó Johannes Vermeer?;Baco;Chica con pendiente de perla;La lechera;La encajera
Medio;Entretenimiento: Dibujos animados y animaciones;"¿A qué ciudad reprochó Anger por arruinar la pizza en ""Del revés""?";San Francisco;Minnesota;Washington;California
Medio;Entretenimiento: Música;"¿La exitosa canción de Rick Astley ""Never going to Give You Up"" se publicó en qué año?";1987;1985;1986;1988
Medio;Entretenimiento: Música;¿Quién es el letrista principal de la banda canadiense de rock progresivo Rush?;Neil Peart;Geddy Lee;Alex Lifeson;John Rutsey
Medio;Historia;¿Cómo se llamaba el químico que se lanzó sobre Vietnam durante la guerra de Vietnam?;Agente Naranja;Fosgeno;Gas mostaza;Cianuro de hidrógeno
Medio;Entretenimiento: Anime y Manga japonés;"¿Aoi Miyamori es la directora de producción de qué anime en ""Shirobako""?";El tercer equipo femenino de aéreo;¡Éxodo!;Andes Chucky;¡Angel Beats!
Medio;Entretenimiento: Videojuegos;"¿Cuál de los cuatro primeros títulos de la franquicia ""Grand Theft Auto"" inició la serie de icónicas portadas con cuadrícula de imágenes?";Gran Robo de Automóviles III;Gran Robo de Automóviles;Gran Robo Auto II;Grand Theft Auto Vici City
Medio;Conocimientos generales;¿El nuevo One World Trade Center en Manhattan, Nueva York, fue diseñado por qué arquitecto?;David Childs;Bjarke Ingels;Michael Arad;Fumihiko Maki
Medio;Entretenimiento: Videojuegos;"¿Cuándo se lanzó el juego ""Roblox""?";2006;2003;2002;2007
Medio;Entretenimiento: Videojuegos;En el juego Overwatch, ¿cuál de los siguientes 4 héroes es de Brasil?;Lúcio;Sombra;McCree;Symmetra
Medio;Entretenimiento: Cine;"¿Cuál de los siguientes actores no interpreta un papel en la película ""Los sospechosos habituales""?";Steve Buscemi;Kevin Spacey;Benicio Del Toro;Gabriel Byrne
Medio;Entretenimiento: Dibujos animados y animaciones;¿Cuál es la tasa de fotogramas estándar para animación?;24 FPS;12 FPS;30 FPS;60 FPS
Medio;Entretenimiento: Televisión;"¿Qué luchador de la WWF tenía el apodo de ""El Ayatolá del Rock 'N' Rolla""?";Chris Jericho;Marty Jannetty;Scott Hall;Shawn Michaels
Medio;Historia;¿Quién dio clases particulares a Alejandro Magno?;Aristóteles;Sócrates;Platón;El rey Felipe
Medio;Geografía;¿Cuál es la capital de Columbia Británica, Canadá?;Victoria;Vancouver;Esperanza;Kelowna
Medio;Ciencia y Naturaleza;¿Cuál de estos científicos llevó a cabo el Experimento de la Lámina de Oro, que concluyó que los átomos están formados principalmente por espacio vacío?;Ernest Rutherford;Joseph John Thomson;Arquímedes;Niels Henrik David Bohr
Medio;Historia;¿Cuál de los siguientes reyes asirios NO gobernó durante el Imperio Neoasirio?;Shamshi-Adad III;Shalmaneser V;Esharhaddon;Ashur-nasir-pal II
Medio;Historia;¿Quién fue el primer presidente de la República Popular China?;Mao Zedong;Liu Shaoqi;Dong Biwu;Li Xiannian
Medio;Entretenimiento: Cine;"En la película ""Réquiem por un sueño"", ¿a qué droga se vuelve adicto el personaje de Jared Leto?";Heroína;Cocaína;Marihuana;Oxicodona
Medio;Entretenimiento: Anime y Manga japonés;"En ""Toriko"", ¿cuál de los siguientes Reyes Celestiales tiene un sentido del Oído mejorado?";Zebra;Coco;Sunny;Toriko
Medio;Geografía;¿Broome es una ciudad en qué estado de Australia?;Australia Occidental;Territorio del Norte;Australia Meridional;Tasmania
Medio;Historia;¿En qué año ocurrieron el terremoto y tsunami del Boxing Day en el Océano Índico?;2004;2006;2008;2002
Medio;Ciencia: Informática;¿.rs es el dominio de primer nivel para qué país?;Serbia;Rumanía;Rusia;Ruanda
Medio;Deportes;¿Qué país acogió los Juegos Olímpicos de Invierno de 2014?;Rusia;Canadá;Estados Unidos;Alemania
Medio;Entretenimiento: Cine;"En la película de 1984 ""Terminator"", ¿qué número de modelo es el Terminator interpretado por Arnold Schwarzenegger?";T-800;I-950;T-888;T-1000
Medio;Geografía;¿En qué continente se encuentra el país de Angola?;África;Sudamérica;Europa;Asia
Medio;Entretenimiento: Videojuegos;"¿En qué ciudad nació Seamus ""Sledge"" Cowden de ""Tom Clancy's Rainbow Six Siege""?";John O'Groats;Pelea;Kearvaig;Talmine
Medio;Entretenimiento: Videojuegos;"¿Qué fase estaba prevista para formar parte de ""Sonic the Hedgehog 2"", pero fue descartada durante el desarrollo?";Zona de la Ciudad Genocidio;Zona del Circuito Stardust;Zona Sky High;Zona Mecánica
Medio;Entretenimiento: Cine;"En la película de 2002 ""Kung Pow! Entra el Puño"", ¿por qué Wimp Lo fue entrenado mal a propósito?";Como broma;Por hacer trampas;Venganza;Para ponerle a prueba
Medio;Entretenimiento: Videojuegos;¿Cuál de estos NO es el nombre de un líder de equipo en Pokémon GO?;Leif;Blanche;Chispa;Candela
Medio;Entretenimiento: Cómics;En Black Hammer, ¿por qué dimensión viaja el Coronel Estrangero?;Para-Zona;Hiperespacio;Universo Espejo;Zona Fantasma
Medio;Celebridades;¿En qué año fue absuelto O.J. Simpson de sus cargos de asesinato?;1995;1992;1996;1991
Medio;Entretenimiento: Cine;¿Qué exactor de Star Trek dirigió Tres hombres y un bebé (1987)?;Leonard Nimoy;William Shatner;George Takei;James Doohan
Medio;Ciencia: Matemáticas;¿Cuál es la derivada de sin(x);cos(x);CSC(X);-cos(x);-sin(x)
Medio;Entretenimiento: Cine;"¿Quién proporcionó la mayoría de las canciones y letras de ""Spirit: Stallion of the Cimarron""?";Bryan Adams;Boca Rompida;Oasis;Suministro de aire
Medio;Deportes;¿Quién ganó la Super Bowl de la NFL LI? (51);Patriots;Halcones;Broncos;Eagles
Medio;Entretenimiento: Anime y Manga japonés;¿Cuál de los siguientes mangas tiene más volúmenes de tankouban?;Golgo 13;La extraña aventura de JoJo;Detective Conan;One Piece
Medio;Geografía;¿Qué altura tiene el One World Trade Center en Nueva York?;1.776 pies;1;888 pies;1
Medio;Deportes;¿Qué jugador de dardos ha ganado más títulos del mundo?;Phil Taylor;Michael van Gerwen;Raymond van Barneveld;Eric Bristow
Medio;Entretenimiento: Videojuegos;"¿Qué no es una raza jugable en ""Final Fantasy XIV: A Realm Reborn""?";Hume;Miqo'te;Lalafell;Roegadyn
Medio;Ciencia: Informática;¿Cuántos bytes hay en un solo kibibyte?;1024;2400;1000;1240
Medio;Entretenimiento: Anime y Manga japonés;"En ""JoJo's Bizarre Adventure: Stardust Crusaders"", ¿cuál es el apellido del protagonista Jotaro?";Kujo;Cujoh;Joestar;Higashikata
Medio;Celebridades;Si aún estuviera vivo, ¿en qué año celebraría Elvis Presley su centésimo cumpleaños?;2035;2030;2040;2045
Medio;Entretenimiento: Televisión;¿Qué actor no fue un personaje principal en la serie de televisión Freaks and Geeks?;Jonah Hill;Jason Segel;Seth Rogen;James Franco
Medio;Historia;¿Qué país fue una potencia aliada en la Segunda Guerra Mundial?;Unión Soviética;Italia;Alemania;Japón
Medio;Conocimientos generales;¿El té Earl Grey es té negro con sabor a qué?;Aceite de bergamota;Lavanda;Vainilla;Cariño
Medio;Entretenimiento: Cine;¿En qué película de 1955 interpreta Frank Sinatra a Nathan Detroit?;Chicos y Muñecos;Anclas Aweigh;De aquí a la eternidad;Alta sociedad
Medio;Entretenimiento: Videojuegos;"En el MMO RPG ""Realm of the Mad God"", ¿qué clase es conocida por tener la mayor defensa posible?";El Caballero;El Mago;El Arquero;El Guerrero
Medio;Entretenimiento: Música;¿Cuántos álbumes de estudio ha lanzado la banda de heavy metal 'Metallica' en el periodo entre 1983 y 2016?;10;7;9;12
Medio;Entretenimiento: Dibujos animados y animaciones;"¿En qué año se estrenó la película de Disney ""Una película de tontos""?";1995;1999;2001;1997
Medio;Ciencia y Naturaleza;¿En qué misión se desintegró el transbordador espacial Columbia al reentrar?;STS-107;STS-51-L;STS-61-C;STS-109
Medio;Ciencia: Matemáticas;¿Qué letra griega se usa para significar la suma?;Sigma;Delta;Alfa;Omega
Medio;Entretenimiento: Videojuegos;¿Cuál de estos NO es el nombre de un mapa jugable en PUBG: Battlegrounds?;Orinocco;Miramar;Sanhok;Vikendi
Medio;Entretenimiento: Televisión;"En la serie ""The Office"", con quién acaba Michael Scott?";Holly Flax;Angela Martin;Jan Levinson;Pam Beesly
Medio;Entretenimiento: Videojuegos;¿En qué estado de EE. UU. se encuentra el escenario ficticio de Far Cry 5, 'Hope County'?;Montana;Idaho;Wyoming;Carolina del Norte
Medio;Ciencia: Matemáticas;¿Cuántos ceros hay en un googol?;100;10;1;0
Medio;Entretenimiento: Anime y Manga japonés;¿Qué deporte se juega en el Anime Eyeshield 21?;Fútbol americano;Béisbol;Fútbol americano;Baloncesto
Medio;Entretenimiento: Música;"El músico irlandés Hozier lanzó una canción en 2013 titulada ""Take Me to ______""";Iglesia;Mezquita;Sinagoga;Templo
Medio;Entretenimiento: Televisión;"En ""Star Trek"", ¿qué es el ritual de muerte klingon?";Mira al cielo y grita fuerte de luto.;Besa la frente irregular antes del entierro.;Disparar al espacio en una casquilla de torpedo.;Divide las ganancias del difunto entre sangre de sangre.
Medio;Ciencia y Naturaleza;¿Cuál fue la primera criatura viva en el espacio?;Moscas de la fruta;Mono;Perro;Mouse
Medio;Entretenimiento: Videojuegos;"En ""FTL: Más rápido que la luz"", ¿cuántas razas hay, incluidos los Lanius?";8;9;7;10
Medio;Entretenimiento: Música;"¿Cuál es el nombre del personaje principal del videoclip de ""Shelter"" de Porter Robinson y A-1 Studios?";Rin;Rem;Ren;Ram
Medio;Entretenimiento: Videojuegos;¿Quién fue el principal antagonista de Max Payne 3 (2012)?;Victor Branco;Álvaro Neves;Armando Becker;Milo Rego
Medio;Entretenimiento: Videojuegos;¿Cuál de estos mapas de Counter-Strike es un escenario de desactivación de bombas?;Prodigio;747;La Habana;Plataforma petrolífera
Medio;Entretenimiento: Videojuegos;¿Cuál de los siguientes juegos tiene más personajes jugables?;Timesplitters: Futuro Perfecto;Mortal Kombat: Armageddon;Marvel Vs. Capcom 2;Dragon Ball Z: Budokai Tenkaichi 3
Medio;Entretenimiento: Música;¿En qué año nació Taylor Swift?;1989;1988;1987;1990
Medio;Entretenimiento: Televisión;"¿Cómo se llamaba el mono mascota de Ross en ""Friends""?";Marcel;Jojo;George;Campeón
Medio;Conocimientos generales;¿Cuál es la unidad monetaria en Laos?;Kip;Rublo;Konra;Dólar
Medio;Historia;¿Qué inventor británico inventó la sembradora?;Jethro Tull;Charles Babbage;Isaac Newton;J.J. Thomson
Medio;Historia;¿Quién se cree que fue el primer europeo en 'descubrir' la tierra de Nueva Zelanda?;Abel Tasman;Cristóbal Colón;Jeanne Baré;John Cabot
Medio;Entretenimiento: Música;"¿""Lift Your Spirit"" es un álbum de qué artista?";Aloe Blacc;Lena Meyer-Landrut;Stevie Wonder;Taylor Swift
Medio;Entretenimiento: Videojuegos;¿Cuándo se lanzó la Sega Genesis en Japón?;32445;14 de agosto;1989;30 de noviembre
Medio;Entretenimiento: Música;"¿Qué músico hizo la canción ""F**kin' Perfect"" en 2010?";P!nk;Mitis;Adam Lambert;Koven
Medio;Geografía;¿Cuál de estos países limita con Polonia?;Lituania;Francia;Noruega;Países Bajos
Medio;Entretenimiento: Música;¿Cuál fue el lugar de nacimiento del artista musical 'Sir Robert Bryson Hall II' (también conocido como ¿Lógica)?;Maryland, Estados Unidos;Atlanta;Estados Unidos;Londres
Medio;Ciencia y Naturaleza;"¿Qué desierto es el único en el mundo donde el cactus ""Saguaro"" crece de forma autóctona?";El desierto de Sonora;El desierto del Gobi;El desierto de Yuma;El desierto arábigo
Medio;Geografía;¿Cuál es el lago más grande del continente africano?;Lago Victoria;Lago Tanganica;Lago Malawi;Lago Turkana
Medio;Entretenimiento: Videojuegos;"¿Cuál es el nombre del primer jefe que el jugador encuentra en el juego de 2017, ""Little Nightmares""?";El Conserje;El Alcaide;El Cuidador;El Supervisor
Medio;Geografía;¿Qué país dentro del Reino Unido NO aparece en su bandera, la Union Jack?;Gales;Escocia;Irlanda;Isla de Wight
Medio;Historia;¿Qué país atacó el USS Liberty el 8 de junio de 1967?;Israel;Siria;Arabia Saudí;Irán
Medio;Vehículos;¿Cuál de ellas NO es la función del aceite de motor en los motores de los coches?;Combustión;Lubricación;Refrigeración;Reducir la corrosión
Medio;Entretenimiento: Videojuegos;En Portal 2, ¿qué cuerpo del sistema solar acabó orbitando Wheatley?;La luna;Tierra;Júpiter;Marte
Medio;Entretenimiento: Cine;"En la película de 1994 ""Speed"", ¿cuál es la velocidad mínima a la que debe ir el autobús para evitar que explote una bomba?";50 mph;60 mph;40 mph;70 mph
Medio;Entretenimiento: Videojuegos;"¿Cuál es la ventaja que se introdujo en el mapa ""Call Of Duty: Zombies"", ""Mob Of The Dead""?";Electric Cherry;Revivificación rápida;Ayuda Buitre;Lápida
Medio;Entretenimiento: Cine;¿Cuál de los siguientes villanos de James Bond no está afiliado a la organización SPECTRE?;Auric Goldfinger;Dr. Julius No;Rosa Klebb;Emilio Largo
Medio;Entretenimiento: Videojuegos;En los años 80, un servicio llamado Gameline permitía a los usuarios descargar juegos en qué consola.;Atari 2600;Sega Genesis;Nintendo Entertainment System;ColecoVision
Medio;Entretenimiento: Cine;"¿Qué ciudad atacó el monstruo en la película ""Cloverfield""?";Nueva York, Nueva York;Las Vegas;Nevada;Chicago
Medio;Deportes;¿Quién es considerado el mejor futbolista rumano de todos los tiempos?;Gheorghe Hagi;Cristian Chivu;Nicolae Dobrin;Gheorghe Popescu
Medio;Entretenimiento: Cine;¿Qué película destronó Avatar, de James Cameron, como la película más taquillera de la historia?;Titanic;Guerra de las galaxias;Lo que el viento se llevó;Jaws
Medio;Geografía;¿En qué continente está el país de Lesoto?;África;Asia;Sudamérica;Europa
Medio;Entretenimiento: Videojuegos;"¿Cuál de estos no es un personaje en el juego ""Lethal League""?";Rex;Cambio;Candyman;Sonata
Medio;Deportes;"La canción ""Three Lions"" de los Lightning Seeds se hizo para qué gran evento de fútbol americano en 1996?";Campeonatos Europeos;Copa del Mundo;Liga de Campeones;Copa Confederaciones
Medio;Ciencia y Naturaleza;¿De qué están hechas las uñas humanas?;Queratina;Bone;Quitina;Calcio
Medio;Ciencia y Naturaleza;¿Qué representa el diamante amarillo en el diamante de fuego NFPA 704?;Reactividad;Salud;Inflamabilidad;Radiactividad
Medio;Ciencia y Naturaleza;¿Cuál es la fórmula molecular del componente activo de los chiles (Capsaicina)?;C18H27NO3;C21H23NO3;C6H4Cl2;C13H25NO4
Medio;Mitología;¿Cómo se llama el dios griego de los herreros?;Hefesto;Dyntos;Vulcano;Artagato
Medio;Historia;¿Cuál de los siguientes países fue el primero en enviar un objeto al espacio?;Alemania;EE. UU.;Rusia;China
Medio;Entretenimiento: Videojuegos;El título de survival horror de Capcom, Dead Rising, empieza canónicamente en qué día de septiembre de 2006?;19 de septiembre;21 de septiembre;30 de septiembre;14 de septiembre
Medio;Entretenimiento: Música;"¿Cuáles de estas canciones de Queen fueron sampleadas para la línea base en ""Ice's Ice Ice Baby"" de Vanilla?";Bajo presión;No me detengas ahora;Brighton Rock;Descansando un domingo por la tarde
Medio;Entretenimiento: Música;¿Cuál fue la fecha de lanzamiento del álbum de They Might Be Giants, 'Mink Car'?;11 de septiembre de 2001;17 de abril;2003;4 de noviembre
Medio;Entretenimiento: Música;"¿Cuál de estas bandas fue artista destacada en el álbum de 2017 del rapero de Compton Kendrick Lamar, ""DAMN""?";U2;Radiohead;Coldplay;Bon Jovi
Medio;Geografía;¿Cuál es el río más largo del mundo?;Nilo;Misuri;Amazon;Yangtsé
Medio;Deportes;¿Quién ganó el Gran Premio de San Marino de 1994, la carrera en la que murió Ayrton Senna?;Michael Schumacher;Nicola Larini;Gerhard Berger;Mika Häkkinen
Medio;Entretenimiento: Libros;"El libro ""El Principito"" fue escrito por...";Antoine de Saint-Exupéry;Miguel de Cervantes Saavedra;Jane Austen;F. Scott Fitzgerald
Medio;Celebridades;¿Dónde nació Kanye West?;Atlanta, Georgia;Chicago;Illinois;Los Ángeles
Medio;Entretenimiento: Videojuegos;¿Cuál es el castigo por jugar a Postal 2 en Nueva Zelanda?;10 años de prisión y una multa de 50.000 dólares;Multa de 5 dólares;0;Nada
Medio;Entretenimiento: Música;"¿Cuál de estas canciones no está en el álbum ""sin título"" de Led Zeppelin?";Día de la Celebración;Escalera al cielo;Perro Negro;Rock and Roll
Medio;Ciencia y Naturaleza;¿Cuál es el término médico para el nivel bajo de azúcar en sangre?;Hipoglucemia;Hipotiroidismo;Hipotermia;Hipoxia
Medio;Entretenimiento: Videojuegos;En Need for Speed: Underground, ¿qué coche conduce Eddie?;Nissan Skyline GT-R (R34);Mazda RX-7 FD3S;Acura Integra Tipo R;Subaru Impreza 2.5 RS
Medio;Entretenimiento: Videojuegos;"¿Quién era la mascota de SEGA antes de ""Sonic the Hedgehog""?";Alex Kidd;Opa Opa;Noches;Ristar
Medio;Entretenimiento: Videojuegos;¿En qué año se lanzó el juego original de Sonic the Hedgehog?;1991;1989;1993;1995
Medio;Entretenimiento: Videojuegos;¿Cuáles de estas franquicias de juegos fueron creadas por Namco?;Tekken;Street Fighter;Mortal Kombat;Dragon Quest
Medio;Entretenimiento: Videojuegos;"¿La tarta que aparece en la franquicia ""Portal"" de Valve se parece más a qué tipo real de tarta se parece más?";Selva Negra;Comida del Diablo;Chocolate fundido;Chocolate alemán
Medio;Ciencia y Naturaleza;Junto con el oxígeno, ¿qué elemento es el principal responsable de que el cielo parezca azul?;Nitrógeno;Helio;Carbono;Hidrógeno
Medio;Mitología;El nombre griego de Neptuno era...;Poseidón;Ares;Zeus;Apollo
Medio;Entretenimiento: Cine;"¿Quién interpretó al Cenobita llamado ""Pinhead"" en las películas originales de Hellraiser?";Doug Bradley;Doug Jones;Doug Savant;Doug Benson
Medio;Entretenimiento: Dibujos animados y animaciones;"¿Cómo se llama el perro de Sid en ""Toy Story""?";Scud;Buster;Bigotes;Señor Jones
Medio;Entretenimiento: Videojuegos;¿Cuál fue el primer juego de Super Mario lanzado en Norteamérica para la 3DS?;Super Mario 3D Land;Super Mario Maker;Nuevo Super Mario Bros. 2;Mario Kart 7
Medio;Ciencia y Naturaleza;"¿La ""Tibia"" se encuentra en qué parte del cuerpo?";Tramo;Brazo;Mano;Cabeza
Medio;Conocimientos generales;¿All Souls y Merton son colegios constituyentes de qué universidad?;Oxford;Cambridge;Manchester;Leeds
Medio;Historia;En relación con la ocupación británica en Irlanda, ¿qué representa el IRA?;Ejército Republicano Irlandés;Alianza Rebelde Irlandesa;Ejército de la Reforma Irlandesa;Alianza Irlandés-Real
Medio;Animales;¿De qué color/color es la piel de un oso polar?;Negro;Blanco;Rosa;Verde
Medio;Entretenimiento: Videojuegos;¿Qué ciudad estadounidense apareció en el juego de PC de 1999 Midtown Madness?;Chicago;Washington D.C.;San Francisco;Nueva York
Medio;Entretenimiento: Videojuegos;"El protagonista del juego ""Cave Story"" se llama";Cita;Kazuma;Rizado;Arthur
Medio;Conocimientos generales;¿Cuál es la última letra del alfabeto griego?;Omega;Mu;Epsilon;Kappa
