numero;No.;Name;Nickname;Equipo;posicion;Rol;Posicion2;Character Role;Age Group;Enlace1;imagen;emlace2;nombre completo;Columna6;Columna1;Columna2;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13
1008;Stevenson;Inazuma Eleven;Male;Fire;DF;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pys7P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/6/u/6ukqh-_rebs.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rOz92igg%3D%3D;Tom Stevenson;Le gustan los trenes de vapor y ha montado en todos y cada uno de ellos del país.;;;×;;;;;
1009;Charmers;Inazuma Eleven;Male;Forest;FW;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pys3P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/a/7/a7pfyjkzrhc.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rNz92igg%3D%3D;Ricky Charmers;Naturalmente afortunado, pero no se da cuenta de lo afortunado que es.;;;×;;;;;
101;Oughtry;Inazuma Eleven;Male;Mountain;MF;Player;Middle School;Grade 9;Brainwashing;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_PxsvP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/x/b/xbdn5cwndfk.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Pz8bLz92igg%3D%3D;Charles Oughtry;Se lavó el cerebro para animar a su hermano enfermo amante del fútbol.;;;?;×;×;×;×;×
1010;Hurt;Inazuma Eleven;Male;Fire;GK;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyszP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/r/t/rty-fcsjgs0.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rMz92igg%3D%3D;Max Hurt;Conocido por usar entrenamientos especialmente duros para mejorar su resistencia.;;;×;;;;;
1011;Raleigh;Inazuma Eleven;Male;Mountain;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysvP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/p/y/pyfixf-pdu0.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rLz92igg%3D%3D;Dexter Raleigh;Para alguien tan obsesionado con la caballerosidad, no actúa como un caballero.;;;×;;;;;
1012;Pang;Inazuma Eleven;Male;Fire;GK;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysrP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/y/a/yaudc6y1unc.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rKz92igg%3D%3D;Pete Pang;Odia a los adultos y reza por cualquier cosa que pueda retrasar la adultez.;;;×;;;;;
1013;Fitspire;Inazuma Eleven;Male;Forest;GK;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysnP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/4/1/41n2pnt9bhs.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rJz92igg%3D%3D;Sam Fitspire;Le gustan los aviones de combate y disfruta haciendo fotos en los espectáculos aéreos.;;;×;;;;;
1014;Nightly;Inazuma Eleven;Male;Mountain;DF;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysjP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/j/d/jd8xiylh20e.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rIz92igg%3D%3D;Carter Nightly;Va por ahí mapeando los mejores lugares para ver atardeceres.;;;×;;;;;
1015;Switcher;Inazuma Eleven;Male;Mountain;MF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysfP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/9/3/93dptvilrls.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rHz92igg%3D%3D;Daley Switcher;Vigilando al club de fútbol para un documental que está haciendo.;;;×;;;;;
1016;Ambie;Inazuma Eleven;Male;Mountain;DF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PysbP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/m/f/mfyu-quf84e.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8rGz92igg%3D%3D;Dexter Ambie;Un deportista muy talentoso. No puedo quedarme mucho tiempo con un solo deporte.;;;×;;;;;
1017;Able;Inazuma Eleven;Male;Fire;GK;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pyc_P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/c/3/c39lqjeqdts.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nPz92igg%3D%3D;Gill Able;Tiene una personalidad débil y se deja influenciar fácilmente por lo que dice la gente.;;;×;;;;;
1018;Reiner;Inazuma Eleven;Male;Mountain;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pyc7P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/z/f/zfme9ciquee.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nOz92igg%3D%3D;Drew Reiner;Monta a caballo los fines de semana y espera convertirse en jinete profesional.;;;?;×;×;×;×;
1019;Boardman;Inazuma Eleven;Male;Wind;GK;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Pyc3P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/t/w/twvxubxyb-0.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nNz92igg%3D%3D;Kevin Boardman;Aburrido de la vida escolar diaria, últimamente se encuentra en un bache.;;;?;×;×;×;×;
1020;Craft;Inazuma Eleven;Male;Forest;FW;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyczP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/i/y/iyeqd-xi2nc.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nMz92igg%3D%3D;Andy Craft;Sigue disfrutando de los espectáculos de marionetas y ocasionalmente escribe los suyos propios.;;;?;×;×;×;×;
1021;Vernon;Inazuma Eleven;Male;Mountain;GK;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PycvP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/g/5/g5zmtnjozlc.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nLz92igg%3D%3D;Julius Vernon;Estudiar cómo inventar una máquina del tiempo con absoluta seriedad.;;;?;×;×;×;×;
1022;Sherwood;Inazuma Eleven;Male;Mountain;FW;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PycrP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/r/r/rrotayf0e40.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nKz92igg%3D%3D;Robin Sherwood;Puede que sea un forajido, pero le gusta el fútbol y es un pícaro entrañable.;;;?;×;×;×;×;
1023;McClean;Inazuma Eleven;Male;Wind;MF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PycjP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/a/w/aw65-6wggrs.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nIz92igg%3D%3D;Travis McClean;Tan meticulado en el cuidado de la piel que convierte una montaña en un solo lugar.;;;?;×;×;×;×;
1024;Spoakes;Inazuma Eleven;Male;Fire;GK;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PycfP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/0/8/08fhp3vkhue.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nHz92igg%3D%3D;Rusty Spoakes;Un entusiasta del mountain bike va a todas partes los fines de semana.;;;?;×;×;×;×;
1025;Wester;Inazuma Eleven;Male;Wind;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PycbP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/f/u/fu0aiizemns.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8nGz92igg%3D%3D;Clint Wester;Adicto a las películas de vaqueros y practica duelos al amanecer.;;;?;×;×;×;×;
1026;Nokeyo;Inazuma Eleven;Male;Forest;DF;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyM_P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/r/8/r8vn4j6xtlm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jPz92igg%3D%3D;Pete Nokeyo;La gente puede saber cuándo miente porque se le mueve la nariz.;;;?;×;×;×;×;
1027;Racer;Inazuma Eleven;Male;Mountain;FW;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyM7P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/a/u/auesv2cta4k.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jOz92igg%3D%3D;Will Racer;Conocido por patinar en línea para ir al colegio y volver todos los días.;;;?;×;×;×;×;
1028;Seeker;Inazuma Eleven;Male;Mountain;MF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyM3P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/6/7/679zgrpl1yu.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jNz92igg%3D%3D;Ollie Seeker;Intentando hacerse famoso para ayudar a buscar a su madre desaparecida.;;;?;×;×;×;×;
1029;Hush;Inazuma Eleven;Male;Mountain;FW;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMzP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/l/t/ltm4rupfyr8.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jMz92igg%3D%3D;Graham Hush;Un hombre de pocas palabras. Ni siquiera se abre con sus amigos.;;;?;×;×;×;×;
103;Mooney;Inazuma Eleven;Male;Fire;FW;Player;Middle School;Grade 8;Brainwashing;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_PxsrP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/a/p/apysu9wdwsm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Pz8bKz92igg%3D%3D;Clive Mooney;Gracias al lavado de cerebro, nunca recuerda las faltas que cometió.;;;?;×;×;×;×;×
1030;Knowles;Inazuma Eleven;Male;Forest;DF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMvP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/j/y/jylkfndzdt8.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jLz92igg%3D%3D;Ronny Knowles;Sufre episodios de estornudos sin parar. ¿Todavía puede jugar?;;;?;×;×;×;×;
1031;Abel;Inazuma Eleven;Male;Fire;FW;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMrP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/4/a/4a6foy7jweu.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jKz92igg%3D%3D;Les Abel;Tiene muchos malos recuerdos de haber estado fuera de los equipos de fútbol.;;;?;×;×;×;×;
1032;Thrift;Inazuma Eleven;Male;Mountain;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMnP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/y/1/y1zw7vobf-k.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jJz92igg%3D%3D;Reg Thrift;Siempre ahorrando para pagar el equipo y las tarifas de su banda de rock.;;;?;×;×;×;×;
1033;Iceberg;Inazuma Eleven;Male;Fire;FW;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMjP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/p/d/pdorwqo7onm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jIz92igg%3D%3D;Jools Iceberg;Come una montaña de bebidas granizadas cada año.;;;?;×;×;×;×;
1034;Brent;Inazuma Eleven;Male;Wind;MF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMfP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/d/3/d3xjndrzpyk.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jHz92igg%3D%3D;Mark Brent;Piensa cada día en cómo convertirse en un héroe.;;;?;×;×;×;×;
1035;Ironfist;Inazuma Eleven;Male;Forest;FW;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87PyMbP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/s/f/sfmokinjibm.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8jGz92igg%3D%3D;Vern Ironfist;Se dice que en su día lideró una banda de más de 100 miembros.;;;?;×;×;×;×;
1036;Burnsides;Inazuma Eleven;Male;Wind;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px8_P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/g/b/gbzawitrcqe.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fPz92igg%3D%3D;Rob Burnsides;Confundido por los sentimientos hacia el coordinador de un equipo rival.;;;?;×;×;×;×;
1037;Bragg;Inazuma Eleven;Male;Forest;MF;Player;Middle School;Grade 7;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px87P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/3/z/3zc77d1rxzs.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fOz92igg%3D%3D;Ace Bragg;Un narcisista que se cree el número 1 del colegio.;;;?;×;×;×;×;
1038;Snap;Inazuma Eleven;Male;Wind;FW;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px83P3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/x/c/xchooaaje5c.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fNz92igg%3D%3D;Claude Snap;Fan imitador de Jude, pero ¿posee las mismas habilidades?;;;?;×;×;×;×;
1039;Rush;Inazuma Eleven;Male;Forest;MF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px8zP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/m/0/m0qvf_mzpk0.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fMz92igg%3D%3D;Paul Rush;Conocido como Rayo Púrpura, pasa rápidamente junto a sus oponentes.;;;?;×;×;×;×;
104;Waters;Inazuma Eleven;Male;Forest;DF;Player;Middle School;Grade 8;Brainwashing;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz8_PxsnP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/g/g/ggrzhgjvfm8.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Pz8bJz92igg%3D%3D;Neil Waters;El lavado de cerebro le ayudó a menospreciar a quienes antes le menospreciaban.;;;?;×;×;×;×;×
1040;Crocket;Inazuma Eleven;Male;Fire;DF;Player;Middle School;Grade 9;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px8vP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/k/v/kvxzrm01sm0.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fLz92igg%3D%3D;Guile Crocket;Capaz de mentir con cara seria. ¡No creas ni una palabra de lo que dice!;;;?;×;×;×;×;
1041;Bean;Inazuma Eleven;Male;Fire;MF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px8rP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/v/9/v9msgzspb_c.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fKz92igg%3D%3D;Carey Bean;La actitud alegre de este chico siempre anima a sus amigos.;;;?;×;×;×;×;
1042;Maggie;Inazuma Eleven;Male;Forest;DF;Player;Middle School;Grade 8;Unaffiliated;https://zukan.inazuma.jp/en/chara_model_view/?q=hN2cl56NnpyLmo2glpvdxaTdnM_Oz87Px8nP3aKC;https://dxi4wb638ujep.cloudfront.net/1/k/1/s/1sfnvenh0fs.png;https://zukan.inazuma.jp/en/chara_param/?q=hN2ZlpOLmo2gnJeejZ6glpugjIuN3cWk3ZzPzs_Oz8fJz92igg%3D%3D;John Maggie;Que le corten el moño es como retirarse del sumo para él.;;;?;×;×;×;×;
